experiment,model,model_clean,category,subject,accuracy,f1_macro
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s4,0.4058402860548272,0.3717945053720776
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s13,0.3682331945270672,0.3453621562014283
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s15,0.3244047619047619,0.299351007980185
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s2,0.3396901072705602,0.28453726726398904
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s27,0.4573690621193666,0.44817708224981
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s28,0.43101343101343104,0.3499055411862975
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s39,0.3908536585365854,0.3880198668019033
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s40,0.3900796080832823,0.36604946161644747
exp1_deep_raw_simple_cnn_loso_isolated_v2,simple_cnn,Simple CNN,Raw CNN/LSTM,DB2_s12,0.28953626634958385,0.29073148909751295
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s38,0.10006101281269067,0.018191902384914034
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s5,0.3097081596188207,0.2721997388601687
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s30,0.46634323832625835,0.4153715210860535
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s11,0.3744047619047619,0.37129459785676583
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s36,0.4180929095354523,0.40473096640636497
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s1,0.3573127229488704,0.34913454628441387
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s26,0.1003076923076923,0.018232662192393737
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s3,0.10029850746268656,0.018231144872490505
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s29,0.26370280146163216,0.23602364729094844
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s14,0.3790849673202614,0.32925759040538577
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s37,0.1530424093423479,0.0955312904007054
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s4,0.29499404052443384,0.2842745763632052
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s13,0.10053539559785842,0.01827027027027027
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s15,0.1,0.01818181818181818
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s2,0.30214541120381405,0.256801237810267
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s27,0.09987819732034105,0.01816168327796235
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s28,0.4627594627594628,0.4321154455679772
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s39,0.10060975609756098,0.018282548476454295
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s40,0.3288426209430496,0.3036201309902789
exp1_deep_raw_tcn_attn_loso_isolated_v2,tcn_attn,TCN-Attn,Raw CNN/LSTM,DB2_s12,0.28834720570749106,0.27334965293928026
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s38,0.26601586333129956,0.21304961793861862
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s5,0.258487194758785,0.22305332286690221
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s30,0.4329896907216495,0.3944520822135903
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s11,0.30297619047619045,0.265374707937278
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s36,0.2591687041564792,0.21078014055755778
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s1,0.3513674197384067,0.29020289971339686
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s26,0.18892307692307692,0.18776295227024278
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s3,0.16059701492537312,0.14096903514911793
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s29,0.22533495736906212,0.176490535209835
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s14,0.27213309566250743,0.24860714415965993
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s37,0.08051628764597418,0.0638725214592037
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s4,0.2908224076281287,0.2238915692177203
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s13,0.3402736466389054,0.31910319972718637
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s15,0.25416666666666665,0.23064281404130543
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s2,0.2860548271752086,0.22674888124405873
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s27,0.256394640682095,0.23504063719287882
exp1_deep_raw_tcn_loso_isolated_v2,tcn,TCN,Raw CNN/LSTM,DB2_s28,0.336996336996337,0.31050648721931035
